Year	quarter 	All-worker labor share	Employee-only labor share	Proprietors' total income share
	3	62.7 	56.2 	7.8
	4	63.1 	56.5 	7.6
1980				
	1	63.0 	56.5 	7.2
	2	63.6 	57.1 	7.4
	3	63.9 	57.2 	7.5
	4	63.6 	56.9 	7.3
1981				
	1	62.3 	55.8 	7.1
	2	62.9 	56.4 	6.6
	3	62.4 	56.0 	6.4
	4	62.9 	56.4 	6.2
1982				
	1	64.1 	57.5 	6.1
	2	63.8 	56.9 	6.3
	3	63.9 	57.0 	6.3
	4	63.5 	56.6 	6.5
1983				
	1	63.1 	56.1 	6.5
	2	62.1 	55.2 	6.5
	3	61.2 	54.4 	6.5
	4	61.2 	54.5 	6.6
1984				
	1	61.6 	54.7 	6.8
	2	61.3 	54.5 	6.9
	3	61.4 	54.7 	6.8
	4	61.5 	55.0 	6.5
1985				
	1	61.4 	54.7 	6.8
	2	61.3 	54.7 	6.7
	3	61.0 	54.4 	6.6
	4	61.8 	55.0 	6.6
1986				
	1	61.7 	55.0 	6.6
	2	61.8 	55.1 	6.7
	3	62.2 	55.3 	6.8
	4	62.9 	55.9 	6.7
1987				
	1	63.1 	56.0 	6.9
	2	62.8 	55.9 	6.9
	3	62.9 	56.1 	7.0
	4	62.9 	56.0 	7.1
1988				
	1	63.3 	56.4 	7.5
	2	63.3 	56.2 	7.5
	3	63.2 	56.2 	7.6
	4	62.8 	55.9 	7.6
1989				
	1	62.7 	55.8 	7.5
	2	61.9 	55.2 	7.2
	3	61.7 	55.0 	7.1
	4	62.3 	55.6 	7.1
1990				
	1	62.4 	55.5 	7.1
	2	62.5 	55.6 	7.1
	3	62.6 	55.8 	7.3
	4	63.1 	56.0 	7.3
1991				
	1	62.8 	55.7 	7.2
	2	62.6 	55.4 	7.2
	3	62.5 	55.3 	7.2
	4	62.7 	55.6 	7.2
1992				
	1	63.0 	56.1 	7.4
	2	62.7 	55.9 	7.5
	3	62.6 	55.6 	7.6
	4	62.2 	55.4 	7.8
1993				
	1	61.8 	54.9 	7.8
	2	62.2 	55.2 	7.8
	3	61.8 	54.9 	7.8
	4	61.7 	54.8 	7.8
1994				
	1	61.0 	54.3 	7.8
	2	61.1 	54.4 	7.8
	3	61.1 	54.3 	7.8
	4	60.6 	54.1 	7.9
1995				
	1	60.7 	54.2 	8.0
	2	60.6 	54.3 	8.0
	3	60.7 	54.2 	8.1
	4	60.7 	54.3 	8.2
1996				
	1	60.9 	54.4 	8.3
	2	60.6 	54.2 	8.4
	3	60.6 	54.2 	8.4
	4	60.6 	54.1 	8.4
1997				
	1	61.0 	54.4 	8.6
	2	60.4 	54.1 	8.5
	3	60.4 	54.2 	8.5
	4	61.1 	54.9 	8.6
1998				
	1	61.7 	55.5 	8.8
	2	62.1 	55.9 	8.9
	3	62.1 	55.8 	9.0
	4	61.9 	55.7 	9.0
1999				
	1	62.1 	56.1 	9.1
	2	62.0 	55.9 	9.2
	3	61.8 	55.7 	9.2
	4	61.8 	55.9 	9.2
2000				
	1	63.9 	57.7 	9.2
	2	62.5 	56.5 	9.2
	3	63.4 	57.3 	9.3
	4	62.8 	57.0 	9.5
2001				
	1	64.3 	58.1 	9.8
	2	63.1 	57.1 	10.0
	3	62.8 	56.9 	10.2
	4	62.4 	56.5 	10.2
2002				
	1	61.4 	55.8 	10.4
	2	61.6 	55.8 	10.4
	3	61.2 	55.4 	10.3
	4	61.3 	55.4 	10.3
2003				
	1	60.8 	54.9 	10.2
	2	61.0 	55.1 	10.1
	3	60.3 	54.4 	10.0
	4	60.5 	54.5 	9.9
2004				
	1	60.0 	54.1 	10.0
	2	60.2 	54.3 	10.0
	3	60.6 	54.6 	9.9
	4	60.1 	54.2 	9.9
2005				
	1	59.4 	53.5 	9.5
	2	59.3 	53.5 	9.4
	3	59.0 	53.4 	9.5
	4	58.9 	53.3 	9.6
2006				
	1	59.4 	53.6 	9.9
	2	59.0 	53.4 	9.9
	3	59.0 	53.3 	9.7
	4	59.6 	53.8 	9.5
2007				
	1	60.4 	54.7 	8.9
	2	59.7 	54.0 	8.7
	3	59.1 	53.6 	8.5
	4	59.3 	53.9 	8.6
2008				
	1	60.2 	54.8 	8.8
	2	59.4 	54.1 	9.0
	3	59.4 	54.0 	9.1
	4	60.4 	55.2 	9.0
2009				
	1	58.2 	53.1 	8.7
	2	58.8 	53.5 	8.8
	3	58.3 	53.1 	9.0
	4	57.9 	52.6 	9.3
2010				
	1	57.0 	51.9 	9.2
	2	57.2 	52.1 	9.0
	3	57.0 	52.0 	8.9
	4	56.7 	51.8 	9.0
2011				
	1	58.1 	53.1 	9.2
	2	57.2 	52.3 	9.3
	3	57.3 	52.5 	9.5
	4	56.0 	51.3 	9.5
2012				
	1	56.9 	52.1 	9.8
	2	56.6 	51.9 	9.9
	3	56.5 	51.7 	9.9
	4	58.1 	53.2 	10.0
2013				
	1	56.5 	51.8 	9.8
	2	57.2 	52.5 	9.7
	3	56.8 	52.1 	9.6
	4	56.2 	51.7 	9.5
2014				
	1	57.4 	52.7 	9.8
	2	56.6 	52.2 	9.8
	3	56.3 	51.9 	9.8
	4	57.0 	52.4 	9.9
2015				
	1	57.1 	52.4 	9.9
	2	57.3 	52.6 	9.9
	3	57.3 	52.8 	9.9
	4	58.0 	53.5 	10.0
2016				
	1	57.9 	53.3 	10.0
	2	58.4 	53.7 	10.0
	3	58.4 	53.8 	10.0
